name,download_url,screen_name
harvested.area_pearl millet.tif,https://drive.google.com/uc?export=download&id=1bxVvQsteLLTbATll0GdcnFzECguJZ-jZ,pearl millet
harvested.area_other roots.tif,https://drive.google.com/uc?export=download&id=1bL6WgYfnCTfyYw_1rlV99MQIUVOCz8rA,other roots
harvested.area_other pulses.tif,https://drive.google.com/uc?export=download&id=1RA4xrIbK7TJRdEVe0m9fjZOUgLBu850Q,other pulses
harvested.area_other oil crops.tif,https://drive.google.com/uc?export=download&id=1qE-evhqhBhW_VPejYbYRY0ReikKFn_xy,other oil crops
harvested.area_other fibre crops.tif,https://drive.google.com/uc?export=download&id=1__4Gn89xYKuYmYrg_Spzo-9blICfABJD,other fibre crops
harvested.area_other cereals.tif,https://drive.google.com/uc?export=download&id=1EPJ3sD2iDdAnxU8QrUbfqYsoXvMshMdt,other cereals
harvested.area_oilpalm.tif,https://drive.google.com/uc?export=download&id=1nqJG53FGG73ENCuNA0KA3a8PoJmtAzph,oilpalm
harvested.area_maize.tif,https://drive.google.com/uc?export=download&id=1IwszMF6p9nR4pMhgw4nWVApqX7qepp5e,maize
harvested.area_lentil.tif,https://drive.google.com/uc?export=download&id=1NZvQXQt5nyTvA0Zzu7CIsLc29icGqxs6,lentil
harvested.area_groundnut.tif,https://drive.google.com/uc?export=download&id=1HkwlsE-I4bWdlvfwbLXIjxa0CTsukCUF,groundnut
harvested.area_cowpea.tif,https://drive.google.com/uc?export=download&id=16rD75UlQz2ZimCxpog7qS1i523AkdpOd,cowpea
harvested.area_cotton.tif,https://drive.google.com/uc?export=download&id=1yrxsaF1qIVkpcTFn_NDgYmEx-XKZVUaU,cotton
harvested.area_coconut.tif,https://drive.google.com/uc?export=download&id=1MVl-teTITlSO4X84U9hWkcaX2l71Oikf,coconut
harvested.area_cocoa.tif,https://drive.google.com/uc?export=download&id=1ToK4YAQBkuWZoWqaIecokl8DKkDQOLmE,cocoa
harvested.area_chickpea.tif,https://drive.google.com/uc?export=download&id=1IjiRuZmfmL_1upAYBY6cAFaeO1P_FWz-,chickpea
harvested.area_cassava.tif,https://drive.google.com/uc?export=download&id=1q817KCkasG3TgVN8Vuhc4VNT9ni_QaeZ,cassava
harvested.area_bean.tif,https://drive.google.com/uc?export=download&id=1XFwNx9bArgGXpIRFMqoIk-lIDA6n8tR_,bean
harvested.area_barley.tif,https://drive.google.com/uc?export=download&id=1BGLozBrAV_aISFqkZa8K2VQCMcx1n3y_,barley
harvested.area_banana.tif,https://drive.google.com/uc?export=download&id=19-_BFoZPIHWCJTLpBoOKp8eNVGkL5-8P,banana
harvested.area_arabica coffee.tif,https://drive.google.com/uc?export=download&id=1HTE3vqyJ7utEqGT24dHCL_a--aIXy6X6,arabica coffee
harvested.area_groundnut.tif,https://drive.google.com/uc?export=download&id=1S55lLhGmkveGSMejC7YrnY0PlTSS3JGL,groundnut
bio_5.tif,https://drive.google.com/uc?export=download&id=1jUl5cN5-tAU8RtXtkgVHl_OLiLy5Xrfb,generic_rasters
bio_3.tif,https://drive.google.com/uc?export=download&id=1THfV1xP11nVq8cnf2b0aSqlWbt8tXSo7,generic_rasters
bio_6.tif,https://drive.google.com/uc?export=download&id=1TvH2c1qeoJK380FEFFCsjzJZhQtxqfzI,generic_rasters
bio_19.tif,https://drive.google.com/uc?export=download&id=1RqqT1h6Xu6E__JddSXX_uEsxVWbJ9JaQ,generic_rasters
bio_2.tif,https://drive.google.com/uc?export=download&id=1AjunW5C78rbTBM_kI5hvDN3uuAI_eqEA,generic_rasters
bio_4.tif,https://drive.google.com/uc?export=download&id=1MAHbwTvrrdFyczO2twvyA0FJr6LRwtbz,generic_rasters
bio_18.tif,https://drive.google.com/uc?export=download&id=1mYobuDJIJXNna4Jd_eKeQUdMqg5ppZYu,generic_rasters
bio_1.tif,https://drive.google.com/uc?export=download&id=1z5HXelL87PonOphr5n3egBlTN59WDM6I,generic_rasters
bio_17.tif,https://drive.google.com/uc?export=download&id=1wj9ATXQzawqBczn7fBGbGPcMhohnNluM,generic_rasters
bio_11.tif,https://drive.google.com/uc?export=download&id=1-NhdQIj_iuW1n4gyO985bw4idHLajcbH,generic_rasters
bio_10.tif,https://drive.google.com/uc?export=download&id=1fZxIoLf4X9Uu7zItwBhnPmubTABX6P3l,generic_rasters
bio_9.tif,https://drive.google.com/uc?export=download&id=1gE7Kw_VdShZMGlIYAkR-fGpEk7o207rV,generic_rasters
bio_8.tif,https://drive.google.com/uc?export=download&id=1QtfVToX2fbxmWn0WElvkRwq_UN5fDlr0,generic_rasters
bio_7.tif,https://drive.google.com/uc?export=download&id=1rb3-9tT1BGNOUCSoQQZTZt4yGbgLjPVR,generic_rasters
bio_14.tif,https://drive.google.com/uc?export=download&id=155N1RA_9GpxbN9pooF4Eteom5TOOWzUE,generic_rasters
bio_15.tif,https://drive.google.com/uc?export=download&id=1Bo4_lOJ_MJ1WL0PUu9ThKsg58cSDMOoy,generic_rasters
bio_12.tif,https://drive.google.com/uc?export=download&id=1hsdGdBPw_2w0esbs6Tb-ByoyPicJbolH,generic_rasters
bio_16.tif,https://drive.google.com/uc?export=download&id=1Kh7nuDIoHW_fSt1cIpCiJ5P5V4LDWdaL,generic_rasters
bio_13.tif,https://drive.google.com/uc?export=download&id=1fsz_VnYo7wR3Sl9SC0yYQ6-3p3xZv1en,generic_rasters
embergerQ.tif,https://drive.google.com/uc?export=download&id=1visM2OeYTFZYNhZ06tmWf_Wk0T4_zx84,generic_rasters
dist_rivers.tif,https://drive.google.com/uc?export=download&id=1a5Ta9szFR9gNBVMpkIF6OF4t8x4HPXRd,generic_rasters
dist_h_set.tif,https://drive.google.com/uc?export=download&id=14hhF5A-BprN455Ht3s4eRw0mmoqHxvo5,generic_rasters
climaticMoistureIndex.tif,https://drive.google.com/uc?export=download&id=1NCwQiLPi2O9i8hjan1llznmC_R1W7HWO,generic_rasters
continentality.tif,https://drive.google.com/uc?export=download&id=1b8z9MTD7fdH0ofWuAgruJgWpJurv9Ujl,generic_rasters
thermicityIndex.tif,https://drive.google.com/uc?export=download&id=1BIsHcpMiJA8QU_UgXlTrGVjQR1Hvu4P3,generic_rasters
aridityIndexThornthwaite.tif,https://drive.google.com/uc?export=download&id=1JHTct98fDc4aBavuBAtB6XIjXAO4oa1M,generic_rasters
annualPET.tif,https://drive.google.com/uc?export=download&id=14HFHHWXnZX3ZCfXuQ5oSYVhQv9Izl7vo,generic_rasters
Accessibility.tif,https://drive.google.com/uc?export=download&id=1UyV6Wc5ac29_nH22CLJ6SLABfzVyP0jI,generic_rasters
Altitude.tif,https://drive.google.com/uc?export=download&id=1CjtviI-M7qAE_QmqKeolmKZShl6DFcbx,generic_rasters
PETWarmestQuarter.tif,https://drive.google.com/uc?export=download&id=1QyP5E1zbwsZrQh_498yrfE76B8pmWCd0,generic_rasters
PETDriestQuarter.tif,https://drive.google.com/uc?export=download&id=1BJyAIsshQV5BmdBOirz9Ofhy9pFoFPfe,generic_rasters
growingDegDays0.tif,https://drive.google.com/uc?export=download&id=1mBhggKPMcYO4NCfW8PnArbYkqkGVxpF-,generic_rasters
PETseasonality.tif,https://drive.google.com/uc?export=download&id=17iLiBiOAvi_ZgEq7_gGMDGsP3a_Kxc3h,generic_rasters
minTempWarmest.tif,https://drive.google.com/uc?export=download&id=1xylO48MVzvs1VRJjQ1KF_B5iI4kwCRwd,generic_rasters
maxTempColdest.tif,https://drive.google.com/uc?export=download&id=112uKlY0TefV9gVRZJvL-qypVQifkqEiY,generic_rasters
growingDegDays5.tif,https://drive.google.com/uc?export=download&id=1rkcobO32EH10z-MSDG5e9rKjFjZafOA_,generic_rasters
PETWettestQuarter.tif,https://drive.google.com/uc?export=download&id=1-tKmHpPEJF85JERQh-Qb8Z8kjyi8hF1E,generic_rasters
PETColdestQuarter.tif,https://drive.google.com/uc?export=download&id=1oE3babM2KDCSmyAEo6JDLo8L__h8rCJj,generic_rasters
Irrigation.tif,https://drive.google.com/uc?export=download&id=1wlBcbhxercXWthaletK2ugcvtTSSpAmi,generic_rasters
